title,artist,composer,lyricist,dates
make her dance,"Simon Dominic(Feat.루피,크러쉬)","GOOSE BUMPS(구스범스),SIMON DOMINIC,LOOPY (루피),크러쉬","SIMON DOMINIC,LOOPY (루피),크러쉬",2019-08-26
DAx4,Simon Dominic,"SIMON DOMINIC,GOOSE BUMPS(구스범스)",SIMON DOMINIC,2019-08-27
Summer Days(시몬스 침대 광고 삽입곡),Martin Garrix(Feat.Macklemore&Patrick Stump of Fal,"TUINFORT GIORGIO,DANIELS JARAMYE,HAGGERTY BEN,LEE BRIAN,GARRITSEN MARTIJN","TUINFORT GIORGIO,DANIELS JARAMYE,HAGGERTY BEN,LEE BRIAN,GARRITSEN MARTIJN",2019-08-27
Never Not,Lauv,"LEFF ARI,POLLACK MICHAEL","LEFF ARI,POLLACK MICHAEL",2019-08-30
Old Town Road(Seoul Town Road Remix),"Lil Nas X,RM(방탄소년단)","RM,KIOWA ROUKEMA,MONTERO LAMAR HILL,MICHAEL TRENT REZNOR,ATTICUS MATTHEW ROSS","RM,KIOWA ROUKEMA,MONTERO LAMAR HILL,MICHAEL TRENT REZNOR,ATTICUS MATTHEW ROSS",2019-09-02
Fireflies,NCT DREAM,"PHAT FABE,GABRIEL BRANDES,ALEXANDER KARLSSON","PHAT FABE,GABRIEL BRANDES,ALEXANDER KARLSSON",2019-09-03
April Showers,Aimer,ALBATOLUCE,AIMERRHYTHM,2019-09-04
Breakthrough,Twice,Yu Shimoji,"BAARS JAN J,RAJAN MUSE,RONNIE ICON",2019-09-04
"fuck, I'm lonely","Lauv,Anne-Marie","ARI LEFF,MICHAEL POLLACK,MICHAEL MATOSIC","ARI LEFF,MICHAEL POLLACK,MICHAEL MATOSIC",2019-09-05
GOTT,"Simon Dominic(Feat.MOON,우원재,재키와이)","GOOSE BUMPS(구스범스),SIMON DOMINIC","SIMON DOMINIC,우원재,JVCKI WAI(재키와이),문수진",2019-09-06
I.F.L.Y.,Bazzi,"BAZZI ANDREW,WHITE KEVIN CLARK,WOODS MICHAEL CLINTON","BAZZI ANDREW,WHITE KEVIN CLARK,WOODS MICHAEL CLINTON",2019-09-06
Be Alright,Dean Lewis,"LEWIS DEAN,JON COBBE HUME","LEWIS DEAN,JON COBBE HUME",2019-09-10
I'm a Mess,Bebe Rexha,"JUSSI ILMARI KARVINEN,JUSTIN DREW TRANTER,BROOKS MEREDITH ANNE,PEIKEN SHELLYM,REXHA BLETA","JUSSI ILMARI KARVINEN,JUSTIN DREW TRANTER,BROOKS MEREDITH ANNE,PEIKEN SHELLYM,REXHA BLETA",2019-09-10
Crazy,Julio Iglesias,NELSON WILLIE,NELSON WILLIE,2019-09-19
Circles,Post Malone,"AUSTIN POST,FEENEY ADAM,WILLIAM WALSH,GUNESBERK KAAN,LOUIS BELL","AUSTIN POST,FEENEY ADAM,WILLIAM WALSH,GUNESBERK KAAN,LOUIS BELL",2019-09-20
Lover,Taylor Swift,SWIFT TAYLOR,SWIFT TAYLOR,2019-09-23
Walking The Wire,Imagine Dragons,"RETNOLDS DANIEL,PLATZMAN DANIEL,MCKEE BENJAMIN,LARSSON MATTIAS PER 외 3명","RETNOLDS DANIEL,PLATZMAN DANIEL,MCKEE BENJAMIN,LARSSON MATTIAS PER 외 3명",2019-09-23
COPYCAT,Billie Eilish,"OCONNELL FINNEAS BAIRD,O'CONNELL BILLIE EILISH","OCONNELL FINNEAS BAIRD,O'CONNELL BILLIE EILISH",2019-09-24
Che sara,Jose Feliciano,"PES CARLO,FONTANA JIMMY,GRECO ITALO NICOLA",MIGLIACCI FRANCO,2019-09-28
Defying Gravity(Wicked OST),"Kristin Chenoweth,Idina Menzel",SCHWARTZ STEPHEN,SCHWARTZ STEPHEN,2019-09-28
Forgot U,ASH ISLAND(Feat.블루(BLOO)),"TOIL,윤진영","BLOO,윤진영",2019-09-28
Like A Fool(Begin Again OST),Keira Knightley,CARNEY JOHN,CARNEY JOHN,2019-09-28
Tango,Abir,"HENDLER FRANK,SOMMERS TIMOTHY PAUL,HARONNI ABIR,FRIEDMAN MATTHEW ALAN,DUSSOLLIET JEREMY","HENDLER FRANK,SOMMERS TIMOTHY PAUL,HARONNI ABIR,FRIEDMAN MATTHEW ALAN,DUSSOLLIET JEREMY",2019-09-28
Adore You,Harry Styles,"ALLEN AMY ROSE,HULL THOMAS EDWARD PERCY,JOHNSON TYLER,STYLES HARRY EDWARD","ALLEN AMY ROSE,HULL THOMAS EDWARD PERCY,JOHNSON TYLER,STYLES HARRY EDWARD",2020-01-31
Because,V2(양준일),GAINA VAL,JIY,2020-01-31
Coward of the county,Kenny Rogers,"BOWLING ROGER DALE,WHEELER BILLY EDD","BOWLING ROGER DALE,WHEELER BILLY EDD",2020-01-31
Dance Monkey,Tones And I,WATSON TONI,WATSON TONI,2020-01-31
Good Thing,"Zedd,Kehlani","CLEO TIGHE,FIN DOW SMITH,KEHLANI ASHLEY PARRISH,PETER JOHN REES RYCROFT,ANTON ZASLAVSKI","CLEO TIGHE,FIN DOW SMITH,KEHLANI ASHLEY PARRISH,PETER JOHN REES RYCROFT,ANTON ZASLAVSKI",2020-01-31
If I Ever Fall In Love Again,"Kenny Rogers,Anne Murray","DORFF STEVE,SKLEROV GLORIA","DORFF STEVE,SKLEROV GLORIA",2020-01-31
Living Proof,Camila Cabello,"MATTIAS LARSSON,ALI TAMPOSI,ROBIN FREDRIKSSON,JUSTIN TRANTER,CAMILA CABELLO","MATTIAS LARSSON,ALI TAMPOSI,ROBIN FREDRIKSSON,JUSTIN TRANTER,CAMILA CABELLO",2020-01-31
Memory(Cats OST),Andrew Lloyd Webber,"ANDREW LLOYD WEBBER, ELLIOT CRAIG HOLDEN, T. S. ELIOT, TREVOR NUNN, ZDENEK HRUBY","ANDREW LLOYD WEBBER, ELLIOT CRAIG HOLDEN, T. S. ELIOT, TREVOR NUNN, ZDENEK HRUBY",2020-01-31
Nerdy Love,pH-1(Feat.백예린),"PH-1,모키오(MOKYO),JETTI,백예린","PH-1,백예린",2020-01-31
SLOW DANCING IN THE DARK,Joji,"WIMBERLY JONATHAN,KUSUNOKI JOJI","WIMBERLY JONATHAN,KUSUNOKI JOJI",2020-01-31
SMILE,MELOH(Feat.보이비)(Prod.WOOGIE),"WOOGIE,MELOH,BOI, B","WOOGIE,MELOH,BOI, B",2020-01-31
Time,NF,"FEUERSTEIN NATHAN JOHN,TOMMEE PROFITT","FEUERSTEIN NATHAN JOHN,TOMMEE PROFITT",2020-01-31
Up All Night,Khalid,"KHALID ROBINSON,JEREMY MALVIN,JAMIL CHAMMAS","KHALID ROBINSON,JEREMY MALVIN,JAMIL CHAMMAS",2020-01-31
When We're Together(Olaf's Frozen Adventure OST),"Kristen Bell,Idina Menzel,Josh Gad,Jonathan Groff","SAMSEL, ELYSSA LYNNE","ANDERSON, KATE",2020-01-31
Bad Ass Temple FunkySounds(ヒプノシスマイク),Bad Ass Temple,DJ MITSU,"CRYSTAL BOY,ヤス一番？,ホクロマン半ライス！！！.ノリ・ダ・ファンキーシビレサス",2020-02-29
Blinding Lights,The Weeknd,"BALSHE AHMAD,HOLTER OSCAR THOMAS,MARTIN MAX,QUENNEVILLE JASON MATTHEW,TESFAYE ABEL","BALSHE AHMAD,HOLTER OSCAR THOMAS,MARTIN MAX,QUENNEVILLE JASON MATTHEW,TESFAYE ABEL",2020-02-29
Changes,Lauv,"LEFF ARI,MATOSIC MICHAEL,POLLACK MICHAEL","LEFF ARI,MATOSIC MICHAEL,POLLACK MICHAEL",2020-02-29
Checklist,MAX(Feat.Chromeo),"CHAHAYED ROGET,DOUGLAS SEAN MAXWELL,EL-AMINE IMAD ROY,FISCHER SAMUEL HARRY 외 3명","CHAHAYED ROGET,DOUGLAS SEAN MAXWELL,EL-AMINE IMAD ROY,FISCHER SAMUEL HARRY 외 3명",2020-02-29
Falling,Harry Styles,"HULL THOMAS EDWARD PERCY,STYLES HARRY EDWARD","HULL THOMAS EDWARD PERCY,STYLES HARRY EDWARD",2020-02-29
Godzilla,Eminem(Feat.Juice WRLD),"DOMAN DAVID L,MATHERS MARSHALL,RESTO LUIS EDGARDO,VILLASANA ALEJANDRO","DOMAN DAVID L,MATHERS MARSHALL,RESTO LUIS EDGARDO,VILLASANA ALEJANDRO",2020-02-29
I'm Never Gonna Say Goodbye,Billy Preston,BUTLER ARTHUR,LEIKIN MOLLY ANN,2020-02-29
Maniac,Conan Gray,"CONAN GRAY,DANIEL NIGRO","CONAN GRAY,DANIEL NIGRO",2020-02-29
Stack It Up,Liam Payne(Feat.A Boogie Wit da Hoodie),"DUBOSE ARTIST JULIUS,SHEERAN ED,GIBSON FRED.MAC STEVE","DUBOSE ARTIST JULIUS,SHEERAN ED,GIBSON FRED.MAC STEVE",2020-02-29
Told You So,HRVY,"HANSEN MICH HEDIN,WALLEVIK PETER,DAVIDSEN DANIEL,PRESTON SAMUEL,DAECOLM","HANSEN MICH HEDIN,WALLEVIK PETER,DAVIDSEN DANIEL,PRESTON SAMUEL,DAECOLM",2020-02-29
Trampoline,"Shaed,ZAYN","LEE CHELSEA W,ERNST SPENCER THOMAS,MENDOZA ALEX C,ERNST MAXWELL JOSEPH,MALIK ZAIN JAVADD","LEE CHELSEA W,ERNST SPENCER THOMAS,MENDOZA ALEX C,ERNST MAXWELL JOSEPH,MALIK ZAIN JAVADD",2020-02-29
What A Man Gotta Do,Jonas Brothers,"DAVID ALEXANDER STEWART,JESSICA AGOMBAR,RYAN B TEDDER,NICHOLAS JONAS,JOSEPH JONAS,PAUL KEVIN JONAS","DAVID ALEXANDER STEWART,JESSICA AGOMBAR,RYAN B TEDDER,NICHOLAS JONAS,JOSEPH JONAS,PAUL KEVIN JONAS",2020-02-29
Yummy,Justin Bieber,"JASON P D BOYD,ASHLEY C BOYD,SASHA SIROTA,DANIEL ANWAR HACKETT,JUSTIN BIEBER","JASON P D BOYD,ASHLEY C BOYD,SASHA SIROTA,DANIEL ANWAR HACKETT,JUSTIN BIEBER",2020-02-29
If The World Was Ending,JP Saxe(Feat.Julia Michaels),"JULIA MICHAELS,SAXE JP","JULIA MICHAELS,SAXE JP",2020-03-31
Intentions,Justin Bieber(Feat.Quavo),"BIEBER JUSTIN,BOYD JASON P D,GIANNOS JIMMY,JORDAN DOMINIC J,MARSHALL QUAVIOUS KEYATE","BIEBER JUSTIN,BOYD JASON P D,GIANNOS JIMMY,JORDAN DOMINIC J,MARSHALL QUAVIOUS KEYATE",2020-03-31
Juice,Lizzo,"SAM SUMSER,ERIC FREDERIC,SEAN SMALL,MELISSA JEFFERSON,THERON THOMAS","SAM SUMSER,ERIC FREDERIC,SEAN SMALL,MELISSA JEFFERSON,THERON THOMAS",2020-03-31
LEGACY,DPR LIVE,"DPR LIVE(디피알 라이브),DPR CREAM",DPR LIVE(디피알 라이브),2020-03-31
Life Is Good,Future(Feat.Drake),"GRAHAM AUBREY DRAKE,HILL DARIUS,LIYEW MATHIAS DANIEL,WILBURN NAYVADIUS,YILDIRIM OZAN","GRAHAM AUBREY DRAKE,HILL DARIUS,LIYEW MATHIAS DANIEL,WILBURN NAYVADIUS,YILDIRIM OZAN",2020-03-31
Love Affair,UMI,"TAEJOON WEE,TIERRA UMI WILSON","TAEJOON WEE,TIERRA UMI WILSON",2020-03-31
Modern Loneliness,Lauv,"LEFF ARI,SIMPSON JONNY,MATOSIC MICHAE,POLLACK MICHAEL,ELIZONDO MICHAEL","LEFF ARI,SIMPSON JONNY,MATOSIC MICHAE,POLLACK MICHAEL,ELIZONDO MICHAEL",2020-03-31
My Oh My,Camila Cabello(Feat.DaBaby),"BELL LOUIS RUSSELL,CABELLO CAMILA,CLEMONS ANTHONY JR 외 3명","BELL LOUIS RUSSELL,CABELLO CAMILA,CLEMONS ANTHONY JR 외 3명",2020-03-31
Nightmare,VICTON(빅톤),"JHUN RYAN SEWON,TAN TIM","JQ,이지원,한승우,도한세",2020-03-31
No Time To Die,Billie Eilish,"O CONNELL FINNEAS,O CONNELL BILLIE","O CONNELL FINNEAS,O CONNELL BILLIE",2020-03-31
O Come All Ye Faithful,David Archuleta,WADE JOHN FRANCIS,WADE JOHN FRANCIS,2020-03-31
Physical,Dua Lipa,"COFFEE CLARENCE,EVIGAN JASON,HUDSON SARAH THERESA,LIPA DUA","COFFEE CLARENCE,EVIGAN JASON,HUDSON SARAH THERESA,LIPA DUA",2020-03-31
Tattoos Together,Lauv,"HINDLIN JACOB KASHER,LEFF ARI,MALIK AMMAR,POLLACK MICHAEL ROSS","HINDLIN JACOB KASHER,LEFF ARI,MALIK AMMAR,POLLACK MICHAEL ROSS",2020-03-31
To Die For,Sam Smith,"ERIKSEN MIKKEL STORLEER,HERMANSEN TOR ERIK,NAPIER JAMES JOHN,SMITH SAMUEL","ERIKSEN MIKKEL STORLEER,HERMANSEN TOR ERIK,NAPIER JAMES JOHN,SMITH SAMUEL",2020-03-31
Anyone Can See,Irene Cara,"ROBERTS, BRUCE,CARA, IRENE","ROBERTS, BRUCE,CARA, IRENE",2020-04-30
AS ONE(映画'仮面病棟' OST),UVERworld,TAKUYA∞,TAKUYA∞,2020-04-30
Break My Heart,Dua Lipa,"FARRIS ANDREW SR,HUTCHENCE MICHAEL KELLAND,JOHNSON JORDAN KENDALL,JOHNSON STEFAN ADAM,LIPA DUA,TAMP","FARRIS ANDREW SR,HUTCHENCE MICHAEL KELLAND,JOHNSON JORDAN KENDALL,JOHNSON STEFAN ADAM,LIPA DUA,TAMP",2020-04-30
Falling,Trevor Daniel,CONROY PATRICIA,CONROY PATRICIA,2020-04-30
Get Me,Justin Bieber(Feat.Kehlani),"BIEBER JUSTIN,BOYD JASON P D,FEENEY ADAM KING,HERNANDEZ ANDERSON,SAMUELS MATTHEW JEHU,SWEET JAHAAN","BIEBER JUSTIN,BOYD JASON P D,FEENEY ADAM KING,HERNANDEZ ANDERSON,SAMUELS MATTHEW JEHU,SWEET JAHAAN",2020-04-30
Good News,Mac Miller,"BRION JON,MC CORMICK MALCOLM JAMES","BRION JON,MC CORMICK MALCOLM JAMES",2020-04-30
GOOD NIGHT,"H&D(한결,도현)","BLACK EDITION (1),BLACK EDITION (2),BLACK EDITION (3)","BLACK EDITION (1),BLACK EDITION (2),BLACK EDITION (3)",2020-04-30
HERE(For Christmas),Lukas Graham,"FORCHHAMMER LUKAS,LABREL DAVID,SKELTON ZACHARY PHILIP,TORREY JAKE","FORCHHAMMER LUKAS,LABREL DAVID,SKELTON ZACHARY PHILIP,TORREY JAKE",2020-04-30
Something About Us,Daft Punk,"BANGALTER THOMAS,CHRISTO GUY MANUEL HOMEM,CALVIN HARRIS","BANGALTER THOMAS,CHRISTO GUY MANUEL HOMEM,CALVIN HARRIS",2020-04-30
Turks,"NAV,Gunna(Feat.Travis Scott)",COWARD CAMERON JACOB,COWARD CAMERON JACOB,2020-04-30
Underdog,Alicia Keys,"AUGELLO-COOK ALICIA J,COFFER JONATHAN CHARLES,MCDAID JOHN,SHEERAN ED,VANCE FOY,WADGE AMY VICTORIA","AUGELLO-COOK ALICIA J,COFFER JONATHAN CHARLES,MCDAID JOHN,SHEERAN ED,VANCE FOY,WADGE AMY VICTORIA",2020-04-30
What is a youth(Romeo and Juliet OST),Joanna Wang,"ROTA NINO,LAM HAU SING JAMES,WALTER EUGENE FERDINAND","ROTA NINO,LAM HAU SING JAMES,WALTER EUGENE FERDINAND",2020-04-30
You should be sad,Halsey,"FRANGIPANE ASHLEY,KURSTIN GREG","FRANGIPANE ASHLEY,KURSTIN GREG",2020-04-30
"Always, i'll care",Jeremy Zucker,"RAKOW DANIEL JAMES,ZUCKER JEREMY SCOTT","RAKOW DANIEL JAMES,ZUCKER JEREMY SCOTT",2020-05-31
ANYMORE,pH-1(Feat.ASH ISLAND)(Prod.그레이),"GRAY,DAX,PH-1,윤진영,OFF","PH-1,윤진영",2020-05-31
Forever,"Justin Bieber(Feat.Post Malone,Clever)","JASON BOYD,JUSTIN BIEBER,WILLIAM WALSH,JOSHUA TYLER HUIE,LOUIS BELL,AUSTIN POST,BERNARD HARVEY,ALI","JASON BOYD,JUSTIN BIEBER,WILLIAM WALSH,JOSHUA TYLER HUIE,LOUIS BELL,AUSTIN POST,BERNARD HARVEY,ALI",2020-05-31
Glitter,BENEE,"BENNETT STELLA,FOUNTAIN JOSHUA MARC,SCHOUSHKOFF JASON LEE P","BENNETT STELLA,FOUNTAIN JOSHUA MARC,SCHOUSHKOFF JASON LEE P",2020-05-31
Good day,Surfaces,"FRANK FORREST NEIL,PADALECKI COLIN VINCENT","FRANK FORREST NEIL,PADALECKI COLIN VINCENT",2020-05-31
NonStop,NCT 127,"KENZIE,BONNICK GREG PAUL STEPHEN,CHAPMAN HAYDEN,MCKINNON ADRIAN",KENZIE,2020-05-31
PACKITUP!,pH-1(Prod.BMTJ),BMTJ,PH-1,2020-05-31
Punch,NCT 127,"KENZIE,ABERNATHY DWAYNE ALLEN,MOORE KEYNON MASTA",KENZIE,2020-05-31
Say So,Doja Cat,"DLAMINI AMALA RATNA,GOTTWALD LUKASZ","DLAMINI AMALA RATNA,GOTTWALD LUKASZ",2020-05-31
September Morn,Neil Diamond,"DIAMOND NEIL,BECAUD GILBERT","DIAMOND NEIL,BECAUD GILBERT",2020-05-31
Sit Down!,NCT 127,"MASON HARVEY JAY,WHITMORE DEWAIN NEVINS,SMITH PATRICK MICHAEL,RANDOLPH KEVIN LAMONT,BURTON BRITTANY","TOMMY STRATE,황유빈,MASON HARVEY JAY,WHITMORE DEWAIN NEVINS,SMITH PATRICK MICHAEL,RANDOLPH KEVIN LAMON",2020-05-31
Therapist,Mae Muller,"CAROLINE AILIN BUVIK FUROEYEN, DAVID ANDREW PRAMIK, MAE MULLER","CAROLINE AILIN BUVIK FUROEYEN, DAVID ANDREW PRAMIK, MAE MULLER",2020-05-31
Toosie Slide,Drake,"GRAHAM AUBREY DRAKE,YILDIRIM OZAN","GRAHAM AUBREY DRAKE,YILDIRIM OZAN",2020-05-31
What Do I Know?,Ed Sheeran,"MCDAID JOHN,SHEERAN EDWARD CHRISTOPHER,VANCE FOY","MCDAID JOHN,SHEERAN EDWARD CHRISTOPHER,VANCE FOY",2020-05-31
Who,Lauv(Feat.BTS),"DALLAS KARL,LEFF ARI,POLLACK MICHAEL ROSS","DALLAS KARL,LEFF ARI,POLLACK MICHAEL ROSS",2020-05-31
El Condor Pasa,Simon & Garfunkel,"MILCHBERG JORGE,SIMON PAUL USA1,ROBLES DANIEL ALOMIA","MILCHBERG JORGE,SIMON PAUL USA1,ROBLES DANIEL ALOMIA",2020-06-30
Into the I-LAND,IU,"WONDERKID,FONTANA MELANIE JOY,SCHULZ MICHEL,HITMAN BANG,DANKE 2,DANKE 1,DANKE 3,이스란,탐쓴(TOMSSON),송재경","WONDERKID,FONTANA MELANIE JOY,SCHULZ MICHEL,HITMAN BANG,DANKE 2,DANKE 1,DANKE 3,이스란,탐쓴(TOMSSON),송재경",2020-06-30
Rain On Me,"Lady GaGa,Ariana Grande","ANDY MONAGHAN, DAVID WILLIAM LAWRENCE KENNEDY, GRANT DAVID HUTCHISON, SCOTT JOHN HUTCHISON, SIMON L","ANDY MONAGHAN, DAVID WILLIAM LAWRENCE KENNEDY, GRANT DAVID HUTCHISON, SCOTT JOHN HUTCHISON, SIMON L",2020-06-30
ROCKSTAR,DaBaby(Feat.Roddy Ricch),"BURNS MATTHEW,CALDWELL KHALICK ANTONIO,KIRK JONATHAN LYNDALE,PETERS KYRIN","BURNS MATTHEW,CALDWELL KHALICK ANTONIO,KIRK JONATHAN LYNDALE,PETERS KYRIN",2020-06-30
Savage,Megan Thee Stallion,"PETE MEGAN J,SESSION BOBBY DEWAYNE JR,WHITE ANTHONY G","PETE MEGAN J,SESSION BOBBY DEWAYNE JR,WHITE ANTHONY G",2020-06-30
Stuck With U,"Ariana Grande,Justin Bieber","BIEBER JUSTIN DREW,GRANDE ARIANA,PHILLIPS WHITNEY LAUREN,SCOOTER BRAUN,STONE GIAN MICHAEL,STONESTRE","BIEBER JUSTIN DREW,GRANDE ARIANA,PHILLIPS WHITNEY LAUREN,SCOOTER BRAUN,STONE GIAN MICHAEL,STONESTRE",2020-06-30
Take Yourself Home,Troye Sivan,"GOERRES OSCAR MICHAEL,MCLAUGHLIN BRETT LELAND,PARKS TAYLOR MONET,SIVAN TROYE","GOERRES OSCAR MICHAEL,MCLAUGHLIN BRETT LELAND,PARKS TAYLOR MONET,SIVAN TROYE",2020-06-30
The Christmas Song,Nat King Cole,"WELLS (US 1) ROBERT,TORME MELVIN H","WELLS (US 1) ROBERT,TORME MELVIN H",2020-06-30
THE SCOTTS,"Travis Scott,Kid Cudi","BAPTISTE DENZEL MICHAEL AKIL,BIRAL DAVID,DEAN MIKE,MESCUDI SCOTT RAMON SEGURO,OMISHORE OLADIPO O,RE","BAPTISTE DENZEL MICHAEL AKIL,BIRAL DAVID,DEAN MIKE,MESCUDI SCOTT RAMON SEGURO,OMISHORE OLADIPO O,RE",2020-06-30
Be Kind,"Marshmello,Halsey","ALLEN AMY ROSE,FRANGIPANE ASHLEY,MARSHMELLO,STONE GIAN MICHAEL,WEXLER FRED MICHAEL","ALLEN AMY ROSE,FRANGIPANE ASHLEY,MARSHMELLO,STONE GIAN MICHAEL,WEXLER FRED MICHAEL",2020-07-31
Blueberry Faygo,Lil Mosey,"ECHOLS LATHAN MOSES STANLEY,EDMONDS KENNETH B,SIMMONS DARYL L,WONG CALLAN JAMES","ECHOLS LATHAN MOSES STANLEY,EDMONDS KENNETH B,SIMMONS DARYL L,WONG CALLAN JAMES",2020-07-31
Burn It,AGUST D(Feat.MAX),"AGUST D,GHSTLOOP,SCHNEIDER MAXWELL GEORGE,AM!R","AGUST D,GHSTLOOP,SCHNEIDER MAXWELL GEORGE,AM!R",2020-07-31
I'm Not Giving You Up,Gloria Estefan,Gloria Estefan,Gloria Estefan,2020-07-31
ilomilo,Billie Eilish,"BILLIE EILISH O'CONNELL, FINNEAS BAIRD OCONNELL","BILLIE EILISH O'CONNELL, FINNEAS BAIRD OCONNELL",2020-07-31
ily(i love you baby),Surf Mesa(Feat.Emilee),VANCA MIRCEA MADALIN,VANCA MIRCEA MADALIN,2020-07-31
Kings & Queens,Ava Max,"BERNSTEIN HILLARY BETH,BLINSSON MIMOZA,CHILD DESMOND 외 6명","BERNSTEIN HILLARY BETH,BLINSSON MIMOZA,CHILD DESMOND 외 6명",2020-07-31
LIFT UP,WOODZ(조승연),"WOODZ,네이슨(NATHAN)",WOODZ,2020-07-31
Like That,Doja Cat(Feat.Gucci Mane),"EVIGAN JASON,LIPA DUA,LYKKEN KENNEDI KATHYRN RAE,TRANTER JUSTIN DREW","EVIGAN JASON,LIPA DUA,LYKKEN KENNEDI KATHYRN RAE,TRANTER JUSTIN DREW",2020-07-31
Mai Piu Cosi Lontano,Andrea Bocelli,MALAVASI MAURO,MALAVASI MAURO,2020-07-31
no song without you,HONNE,"CLUTTERBUCK ANDREW PETER,HATCHER JAMES WILLIAM,PIMENTEL DAVID BRIAN","CLUTTERBUCK ANDREW PETER,HATCHER JAMES WILLIAM,PIMENTEL DAVID BRIAN",2020-07-31
Purpose(Stripped),Etham,"ETHAM BASEDON,MAX ANTHONY MCELLIGOTT","ETHAM BASEDON,MAX ANTHONY MCELLIGOTT",2020-07-31
Scared To Live,The Weeknd,"BALSHE AHMAD,HOLTER OSCAR THOMAS,JOHN ELTON,LOPATIN DANIEL,MAX MARTIN,TAUPIN BERNIE,TESFAYE ABEL","BALSHE AHMAD,HOLTER OSCAR THOMAS,JOHN ELTON,LOPATIN DANIEL,MAX MARTIN,TAUPIN BERNIE,TESFAYE ABEL",2020-07-31
snow jam,Rin音,"Rin音,RHYMETUBE",Rin音,2020-07-31
Supalonely,BENEE(Feat.Gus Dapperton),"BUS DAPPERTON, JENNA LAUREN ANTONIA ELYSE HAMILTON-ANDREWS, JOSH FOUNTAIN, STELLA BENNETT","BUS DAPPERTON, JENNA LAUREN ANTONIA ELYSE HAMILTON-ANDREWS, JOSH FOUNTAIN, STELLA BENNETT",2020-07-31
Tag Me(@Me),Weeekly(위클리),"RHEAT,ZAYDRO,AUDI MOK,TYSHA TIAR","DANKE 2,RHEAT,DANKE 1,DANKE 3,ZAYDRO,AUDI MOK,TYSHA TIAR",2020-07-31
The Bones,Maren Morris,"MORRIS MAREN,ROBBINS JIMMY,VELTZ LAURA JEANNE","MORRIS MAREN,ROBBINS JIMMY,VELTZ LAURA JEANNE",2020-07-31
VIVID,AB6IX(에이비식스),"OUOW1,ON THE ROAD,NOMAD,이대휘,라이머","OUOW1,박우진,이대휘",2020-07-31
what are we,Virginia To Vegas,"BAKER DERIK,FISCHER DAVID,WARBURTON GEOFFREY ELLIOTT,WISE MICHAEL JOSEPH","BAKER DERIK,FISCHER DAVID,WARBURTON GEOFFREY ELLIOTT,WISE MICHAEL JOSEPH",2020-07-31
Younger,"Jonas Blue,HRVY","ROBIN GUY JAMES,ROMAN SAMUEL ELLIOT","ROBIN GUY JAMES,ROMAN SAMUEL ELLIOT",2020-07-31
BOY,TREASURE,"R.TEE,세아(SE-A),HAE,최현석,LIL G,CHOICE 37","R.TEE,세아(SE-A),최현석,LIL G,CHOICE 37",2020-08-31
Boys Will Be Boys,Dua Lipa,"EVIGAN JASON,LIPA DUA,LYKKEN KENNEDI KATHYRN RAE,TRANTER JUSTIN DREW","EVIGAN JASON,LIPA DUA,LYKKEN KENNEDI KATHYRN RAE,TRANTER JUSTIN DREW",2020-08-31
Call Me When It's Over,James Smith,"BROWN MARTIN LUKE,SMITH JAMES EDWARD","BROWN MARTIN LUKE,SMITH JAMES EDWARD",2020-08-31
cardigan,Taylor Swift,"AARON BROOKING DESSNER,TAYLOR ALISON SWIFT","AARON BROOKING DESSNER,TAYLOR ALISON SWIFT",2020-08-31
Fanfare,Twice,"FRICK SVEEN LOUISE ANNY SOPHIA,KENICHI SAKAMURO,ATSUSHI SHIMADA",CHIEMI,2020-08-31
Flame,CRAVITY,"PARK JISOO,LEWIS JEFF,TAYLOR BLAIR","JQ,다0,BROTHER SU",2020-08-31
Girlfriend,Charlie Puth,"HINDLIN JACOB KASHER,PUTH CHARLIE OTTO JR","HINDLIN JACOB KASHER,PUTH CHARLIE OTTO JR",2020-08-31
GUNSHOT,KARD,"KYUWON Q KIM,BM(비엠)","BM(비엠),J.SEPH",2020-08-31
Humming,MC그리(Feat.라비),"MC그리,RAVI,ON THE ROAD","MC그리,RAVI,ON THE ROAD",2020-08-31
Interlude: Set me free,AGUST D,"AGUST D,PDOGG","AGUST D,PDOGG",2020-08-31
Make you happy,NiziU,"LEE HAE SOL,J.Y.PARKTHEASIANSOUL","J.Y.PARKTHEASIANSOUL,松本有加",2020-08-31
Mandy,Barry Manilow,"RICHARD KERR,SCOTT DAVID ENGLISH","RICHARD KERR,SCOTT DAVID ENGLISH",2020-08-31
NIGHT RUNNING(BNA ビー・エヌ・エー ED),Shin Sakiura(Feat.AAAMYYY),SHIN SAKIURA,AAAMYYY,2020-08-31
No Excuses,Meghan Trainor,"HINDLIN JACOB KASHER,TRAINOR MEGHAN ELIZABETH,WELLS ANDREW MICHAEL","HINDLIN JACOB KASHER,TRAINOR MEGHAN ELIZABETH,WELLS ANDREW MICHAEL",2020-08-31
Nobody's Love,Maroon 5,"ADAM NOAH LEVINE,BRANDON HAMLIN,JACOB KASHER HINDLIN 외 7명","ADAM NOAH LEVINE,BRANDON HAMLIN,JACOB KASHER HINDLIN 외 7명",2020-08-31
Not Shy,ITZY(있지),"KOBEE,EARATTACK,WILSON CHARLOTTE LOUISE JAYE",J.Y.PARKTHEASIANSOUL,2020-08-31
