title,artist,composer,lyricist,dates,link
연리지,예민,예민,예민,2007-06-01,kLRPVe9mEOQ
연애조건(Remix),윤하,황찬희,김이진,2007-06-01,GebUnELCfOc
열병(8월에 내리는 눈 OST),태원,김동혁,정은경,2007-06-01,Ty7uUUUuaGw
옛사랑,브라운아이즈(Duet.장혜진),이영훈,이영훈,2007-06-01,i489STNmbOo
오아시스,브라운아이드걸스(Feat.이재훈),윤일상,김태윤,2007-06-01,sP3upLcRv7c
우리가 이별할 때,소울스타(Duet.백지영),김상대,"김상대,이창근",2007-06-01,8uLEL-NEWPU
웃을래요(신 현 모양처 OST),우이경,위종수,한경혜,2007-06-01,
유리잔,태원,윤민수,강우경,2007-06-01,qLAH6kwrMTo
이 노래,브라운아이즈,"나얼,성훈","조은희,나얼",2007-06-01,uKGxxK-AVQs
이별 후 애,1SAGAIN(Feat.주보라),"DONNIE J,1SAGAIN",1SAGAIN,2007-06-01,
이젠 시작 이야,한봉우,한정석,한정석,2007-06-01,
인생은 바람,하동진,허대운,허대운,2007-06-01,35LQ0uGwCXY
일요일 아침,포츈쿠키,유희종,"유희종,홍보람",2007-06-01,p6GdmvxFRoE
잊을께,장치열,김희중,김태우,2007-06-01,T9PIOMma2fo
전화라도 주세요,지미휘,정환,윤정,2007-06-01,QH6LjRXgFqI
절망,미르,홍성기,홍성기,2007-06-01,WCLocDMQcd8
찬스,길정화(통일소녀),이동훈,김병걸,2007-06-01,JiSUa7fKoIg
책임져,카사&노바,유건형,"유건형,서정환",2007-06-01,F2MsiBiU_5k
천둥,FT Island,조영수,안영민,2007-06-01,_DIympjN8dA
프리지아(열세살수아 OST),자우림,김윤아,김윤아,2007-06-01,054htywK1Zc
하늘만큼 땅만큼 (하늘만큼 땅만큼 OST),공보경,개미,정진환,2007-06-01,cjnD6sc-CT8
하이난 사랑,권성희,박성훈,정지현,2007-06-01,V5aQdikJ4cs
한 사람만,FT Island,한승훈,"한성호,이원기",2007-06-01,wnSPT2enNhU
행복합니다,FT Island,한성호,한성호,2007-06-01,n47Ar2l42Do
헤어진다,창훈,김석진,고승진,2007-06-01,XRknyJQ1OTA
혼자 밥 먹지마,치열,한성호,이희승,2007-06-01,D3dotpA4Bl8
혼자야,윤여규,윤희성,윤희성,2007-06-01,knOP9p6QwwU
3月9日 (1リットルの涙 OST),レミオロメン,藤巻亮太,藤巻亮太,2007-07-01,SMRSOMVBbCk
6년과 2개월(뮤지컬 '위대한 캣츠비' OST),"정인지,곽선영","정재환,이충한","정재환,이충한,강성수,박현미",2007-07-01,XWOi82IkKCM
a Day in Our Life,嵐,"SHUN,SHUYA","SHUN,SHUYA",2007-07-01,_9EtdPXU1Zw
Armed And Ready,Michael Schenker Group,"BARDEN GARY JOHN,SCHENKER MICHAEL WILLI","BARDEN GARY JOHN,SCHENKER MICHAEL WILLI",2007-07-01,epSrddf65N0
Before It's Too Late,Goo Goo Dolls,Johnny Rzeznik,Johnny Rzeznik,2007-07-01,SVl4_hxMDcA
Blooming,T-Max,류광민,강우경,2007-07-01,IGZwyY2KENU
Boom Boom めっちゃマッチョ！,ギャルル,つんく,つんく,2007-07-01,8lIYvEpK09Q
Boom Sakala,D.N.A,"KYERE CINCLA,WILDE DETERT","KYERE CINCLA,WILDE DETERT",2007-07-01,bB8M1tcsxZM
Boy Friend,M(이민우),이민우,이민우,2007-07-01,NdU__LzApuA
City Of Time(개와 늑대의 시간 OST),마리오(Feat.영지),박충민,"황성진,마리오",2007-07-01,1NUHGufkBGo
Come Back,이은하,"정용준,정용욱",정용욱,2007-07-01,swcwIkxdR34
Crispy Paradise,크리스피 로즈,기현석,이소원,2007-07-01,Wq6Y35AI5TI
Crystal Energy(舞-乙 HiME OP),栗林みな実,栗林みな実,栗林みな実,2007-07-01,BX05SnEN5Ro
DESIRE,中森明菜,鈴木キサブロー,阿木耀子,2007-07-01,pQgLSYWrHLI
Detroit city,Bobby Bare,"Danny Dill, Mel Tillis","Danny Dill, Mel Tillis",2007-07-01,6G4bxA2Gfnc
Do What U Gotta Do,"ZEEBRA(Feat. AI,安室奈美恵,Mummy-D)","AI, ZEEBRA","AI, MUMMY-U, ZEEBRA",2007-07-01,BK0xTmDX2B0
Down,넬,김종완,김종완,2007-07-01,2-qXyYQBkS8
Dreams,The Corrs,"Robert John Lange, Caroline Corr, Sharon Corr, James Corr, Andrea Corr","Robert John Lange, Caroline Corr, Sharon Corr, James Corr, Andrea Corr",2007-07-01,8BglEyv5O2Y
Dying inside to hold you,Timmy Thomas,"VAN PASSEL DANNY, VAN PASSEL EDDY, WADDY GYLE, WEEKHOUT HANS","VAN PASSEL DANNY, VAN PASSEL EDDY, WADDY GYLE, WEEKHOUT HANS",2007-07-01,a3MWmObR4Ow
Electric dreams,Giorgio Moroder,GIORGIO MORODER,GIORGIO MORODER,2007-07-01,PE1lzqJCeJ0
Eternal Su nshine,에반,"GOTTHARD EMIL, ISAKSSON PATRIK","GOTTHARD EMIL, ISAKSSON PATRIK",2007-07-01,6H4hScbKvdI
Face Down,The Red Jumpsuit Apparatus,"Red Jumpsuit Apparatus, Ronnie Winter","Red Jumpsuit Apparatus, Ronnie Winter",2007-07-01,6Ux6SlOE9Qk
Fighting(강남 엄마 따라잡기 OST),카라,"한채호,김승수",송수윤,2007-07-01,PUvvAwc5apw
Flav or Of Life (花より男子2 OST),宇多田ヒカル,Utada Hikaru,Utada Hikaru,2007-07-01,
Fly Again(9회 말 2아웃 OST),별,임지훈,"오성훈,정성필",2007-07-01,f49PpAx2RAo
FREAKY,倖田來未,Tommy Henriksen,Kumi koda,2007-07-01,_dgluyw4kh4
FREE,ERIKA,COZZi,白鳥マイカERIKA,2007-07-01,YbIpslAhNF4
Friday Night,타이푼,"박성진,정훈","박성진,정훈",2007-07-01,bO8pScgLAhI
From this moment on,Shania Twain,"Robert John ""Mutt"" Lange, Shania Twain","Robert John ""Mutt"" Lange, Shania Twain",2007-07-01,a-Lp2uC_1lg
Give it up,Kc & The Sunshine Band,"Deborah Carter, Harry Wayne ""K.C."" Casey, Joe Sample, Allen Toussaint","Deborah Carter, Harry Wayne ""K.C."" Casey, Joe Sample, Allen Toussaint",2007-07-01,kmctqUnzUVw
Go Go Chan!! (커피 프린스 1호점 OST),티어라이너(Feat.요조),LINER,고운,2007-07-01,cSRmc3rz2UI
Good Night(テイルズ オブ リバース OP),Every Little Thing,HIKARI,持田香織,2007-07-01,
Goodbye girl,David Gates,David Gates,David Gates,2007-07-01,xnMkKv1dtQw
GUILTY BEAUTY LOVE(桜蘭高校ホスト部 Character Song),宮野真守,A-bee,細野剛一,2007-07-01,
HAPPY TIME (金色のコルダ OST),谷山紀章 外,黒須克彦,石川絵里,2007-07-01,
Hello,레드락,레드락,레드락,2007-07-01,zRZJ595hCeI
How could an angel break my heart,Toni Braxton,"Babyface, Toni Braxton","Babyface, Toni Braxton",2007-07-01,qsDJRTzN9FY
How Do I,M.Street,Jamie Jones,김은지,2007-07-01,MvthaLBSr90
How much is that doggie in the window,Freddy Fender,Bobby Merrill,Bobby Merrill,2007-07-01,
How To Save A Life,The Fray,"Joe King, Isaac Slade","Joe King, Isaac Slade",2007-07-01,cjVQ36NhbMk
I can't find the words to say goodbye,David Gates,"Billy Dean, David Gates","Billy Dean, David Gates",2007-07-01,d48BwyS-aBE
I can't say goodbye to you,Helen Reddy,Becky Hobbs,Becky Hobbs,2007-07-01,WROxIiSnEGs
I Just Wanna Be (Remix),세븐,PERRY,박경진,2007-07-01,o1CI_UGl4rg
I loved you all the way,Janie Fricke,"DIDIER JULIE,KELLY CASEY","DIDIER JULIE,KELLY CASEY",2007-07-01,qIG4N4MZjxg
I Promise You,"원티드,이정",이현정,최갑원,2007-07-01,7WTLo5zrdS0
I Saw Mommy Kissing Santa Claus,Christmas Carols,CONNOR THOMAS,CONNOR THOMAS,2007-07-01,EW0aj-ngpIg
I Wanna Hold You,동방신기,KENZIE,KENZIE,2007-07-01,5pAgFljS9aY
I want to spend my lifetime loving you,Mark Anthony And Tina Arena,"HORNER JAMES, JENNINGS WILBUR","HORNER JAMES, JENNINGS WILBUR",2007-07-01,nlEBKEFzsqU
If I didn't love you,Tina Arena,"Tina Arena, Reswick, Werfel","Tina Arena, Reswick, Werfel",2007-07-01,aVdpPKlhlGQ
If I keep my heart out of sight,James Taylor,James Taylor,James Taylor,2007-07-01,wapsYPjCBeA
In the moonlight(グラビテーション OST),BAD LUCK,Mad Soldiers,Mad Soldiers,2007-07-01,
Insom nia,허밍어반스테레오,이지린,이진화,2007-07-01,
It's Not Over,DAUGHTRY,"Chris Daughtry, Gregg Wattenberg, Mark Wilkerson, Brett Young","Chris Daughtry, Gregg Wattenberg, Mark Wilkerson, Brett Young",2007-07-01,UQ92eyxnxmQ
Kissing You,Fly To The Sky(Feat.Issac Squab Of Trespass),"CARTER SHAWN,KRAVITZ LEONARD","CARTER SHAWN,KRAVITZ LEONARD",2007-07-01,AC4pORABKd8
KOIBUMI(朝霧の巫女 ED),林原めぐみ,たかはし ごう,MEGUMI,2007-07-01,
La Fam ilia,Jiggy Fellaz(Feat.태완 a.k.a C-Luv),김태완.변웅,"김태완,신동열,MIKE,조정환,임인교,이동진,정기석",2007-07-01,
Lake Of Tears,Gamma Ray,Henjo Richter,Henjo Richter,2007-07-01,NcNsBZKfO7I
Let 's Singing,베이지,김한규,장연정,2007-07-01,cvU78r_v8lU
Look,미나(Feat.AK'Sent),"정연준,DA KEY",정연준,2007-07-01,
Love Is…,이퍼블릭,유병열,유병열,2007-07-01,X2CdrbwFjCM
Lust,윤희중,윤희중,윤희중,2007-07-01,0D7cu9jj5lI
MAGIC,HAWAIIAN6,HAWAIIAN6,HAWAIIAN6,2007-07-01,zZw_NxEkxTg
Make A Memory,Bon Jovi,"BON JOVI JON, CHILD DESMOND, SAMBORA RICHARD S","BON JOVI JON, CHILD DESMOND, SAMBORA RICHARD S",2007-07-01,VMrLeTZD1-U
Metam orphose(この醜くも美しい世界 OP),高橋洋子,大森俊之,くまのきよみ,2007-07-01,
Mr. Mus ic,데프콘(Feat.쿤타),최성범,"유대준,안태현",2007-07-01,
My A ngel,Fly To The Sky,강화성,조규만,2007-07-01,
My Destiny,東方神起,松浦晃久,小山内舞,2007-07-01,BTKgAUJDFxg
My First Day Alone,The Cascades,MC KENDRY DEWARD ALAN CHANDLER BODIE,MC KENDRY DEWARD ALAN CHANDLER BODIE,2007-07-01,Xb9QD0CHT3c
My Generation (生徒諸君! 主題歌),YUI,YUI,YUI,2007-07-01,lyPQhCQeQII
My Love,김동완(Feat.에릭),이민우,"에릭,Brian Kim",2007-07-01,
My Page,동방신기(시아준수),XIAH,XIAH,2007-07-01,4zMOcDCDwwc
Never Let You Go,JUST,BRAVE,BRAVE,2007-07-01,FHPEUtL9QJ0
No Return,Avantasia,SAMMET TOBIAS,SAMMET TOBIAS,2007-07-01,iJlnlrOzdz4
Noctu rne -revis ion-(メモリーズオフ OVA OP),水樹奈々,志倉千代丸,志倉千代丸,2007-07-01,
Phantom 환영,동방신기,KENZIE,김정배,2007-07-01,IN6GGYxxqSc
PIECE OF MY WISH,今井美樹,上田知華,岩里祐穂,2007-07-01,WsMHLi7vAhg
Play My Song,M(이민우),"서정,박재선",서정,2007-07-01,p0ltFVgVgxo
Polly(커피프린스 1호점 OST),THE MELODY,고운,고운,2007-07-01,nzOr9olGXic
Princess Rose(おとぎ銃士赤ずきん OP),田村ゆかり,橋本由香利,三井ゆきこ,2007-07-01,
Private Laughter,Bonnie Pink,Bonnie Pink,Bonnie Pink,2007-07-01,l-IbrY5fEP4
Reason 's To One,임재범,임재범,이한나,2007-07-01,7w2lhpzBqYY
Romeo N Juliet,클래지콰이,김성훈,"이재현,최수진",2007-07-01,0GxM9_qHCFo
S(Summer Mix),바나나걸,"""Hitman""Bang,가재발","""Hitman""Bang",2007-07-01,yNfOLGF3IEY
Scream,"김동완(Feat.D.Bace,DJ Tukutz)",Kubo Takuro,"Kubo Takuro,Kiyokiba Shun",2007-07-01,3DHWV8zQRXw
Sky(화려한 휴가 OST),이현섭,박준수,박준수,2007-07-01,oCjPwHEvF04
So Fresh,MC몽(Feat.김태우),김건우,"MAYBEE,MC몽",2007-07-01,zBHRerBKV2w
Stay,HEX,김호현,김호현,2007-07-01,AJcWHJXyJ0A
Stay,SG워너비,민명기,민명기,2007-07-01,zxFF9R4ckfE
Stay Gold,Hi-STANDARD,Hi-STANDARD,Hi-STANDARD,2007-07-01,scqDV8X5-Xk
Stomp,M(이민우),이민우,이민우,2007-07-01,1rbclY9ms-A
suddenly ～巡り合えて～,水樹奈々,矢吹俊郎,矢吹俊郎,2007-07-01,tjdHmWEr_cg
Summer Breeze,"박정아,하우스룰즈",서로,"서로, Joo",2007-07-01,DqBIDusapb0
Su nshine(Summer Ver.),클럽소울,조재윤,조재윤,2007-07-01,
The Way To Paradise,서연(Feat.Verbal Jint),황성제,"서연,박수연,신유,황성제",2007-07-01,k9KKF2PN9RY
What It Is To Burn,Finch,"Nate Barcalow, Derek Doherty, Alexander Pappas, Randy Srohmeyer,Alejandro Linares","Nate Barcalow, Derek Doherty, Alexander Pappas, Randy Srohmeyer,Alejandro Linares",2007-07-01,DLbHfOhJNR4
Whispering Hope,Jim Reeves,Alice Hawthorne,Alice Hawthorne,2007-07-01,eqwomT5YSiw
White Love Story(커피 프린스 1호점 OST),에즈원,방승철,조예진,2007-07-01,co9-tgUEJdg
Wonder Boy(꽃미남 연쇄 테러 사건 OST),슈퍼주니어,GROOVIE K,"GROOVIE K,박준하",2007-07-01,EV3GsWfkBl4
Wonderful Day,"원티드,이정","이종훈,이채규",최갑원,2007-07-01,1Wg9OYOk4kI
X-Love,MC THE MAX,신동우,이소연,2007-07-01,UMh94ZTc7AY
Yes Yes Ya’ll,수퍼맨 아이비,DOK2,수퍼맨 아이비,2007-07-01,5scOggu3TQQ
きみにしか聞こえない,Dreams Come True,吉田美和・中村正人,吉田美和,2007-07-01,nGl2la0Q6LA
ウンディーネ(ARIA The ANIMATION OP),牧野由依,窪田ミナ,河井英里,2007-07-01,3AFfz3I4JN4
ガーネット (時をかける少女 OST),奥華子,奥華子,奥華子,2007-07-01,fxaTQQda7EM
セシルの週末,aiko,松任谷由実,松任谷由実,2007-07-01,ICLkFXOJ9UQ
ピカピカの太陽(学園アリス OP),植田佳奈,吉森信,東川遥,2007-07-01,ZjssGTst4fE
ベサメムーチョ,桂 銀淑,杉本眞人,FUMIKO,2007-07-01,VdfqeOhC1rw
ホウキ雲(焼きたて!!ジャぱん OP),RYTHEM,RYTHEM,RYTHEM,2007-07-01,GHUtj6hU2fs
世界はきっと未来の中,ZARD,岩井勇一郎,坂井泉水,2007-07-01,whfR2Sh8lLc
今が大好き(少女チャングムの夢 OST),ユンナ,田村直樹,渡辺なつみ,2007-07-01,
北ウイング,中森明菜,林哲司,康珍化,2007-07-01,pQgLSYWrHLI
喜びの歌 (特急田中３号 主題歌),KAT-TUN,zero-rock,JOKER.・N.B.Comics,2007-07-01,NgYNFPn5t9s
小さな恋のうた,Mongol 800,Mongol 800,上江洌清作,2007-07-01,WDue-wsX27E
少女 Q(ぱにぽにだっしゅ! OP),桃月学園1年C組,菊谷知樹,斉藤謙策,2007-07-01,
幸せの虹 (学園アリス ED),植田佳奈&釘宮理恵,吉森信,東川遥,2007-07-01,f8d3bW42aFY
抱きしめる,BoA,Kazuhiro Hara,Natsumi Watanabe,2007-07-01,3Tvemeh6uNw
断罪の花～Guilty Sky ～(CLAYMORE ED),小坂りゆ,LOVE+HATE,小坂りゆ,2007-07-01,59xoIgbAG4o
明日の記憶(ブラック･ブラッド･ブラザーズ OP),高橋直純,新井理生,高橋直純,2007-07-01,
明日は来るから (ワンピース 17th ED),東方神起,妹尾武,妹尾武・小山内舞,2007-07-01,
星空の Spica(魔法少女リリカルなのはStrikerS ED),田村ゆかり,太田雅友,椎名可憐,2007-07-01,
桜色舞うころ,中島美嘉,川江美奈子,川江美奈子,2007-07-01,oIoaIlPpIcA
楽園(犬夜叉 劇場編 ED),Do As Infinity,D･A･I,Ryo Owatari,2007-07-01,
空色デイズ(天元突破グレンラガン OP),中川翔子,斎藤真也,meg rock,2007-07-01,1D1eJo7ndYM
童話迷宮(おとぎ銃士 赤ずきん OP),田村ゆかり,太田雅友,畑亜貴,2007-07-01,Cffsg8ULGyI
荒野流転 (幕末機 いろはにほへと OP),Fiction Junction YUUKA,梶浦由記,梶浦由記,2007-07-01,
青空のナミダ(BLOOD+ OP),高橋瞳,田中秀典,高橋瞳・渡辺なつみ,2007-07-01,BlQeeQl6ZUs
音のない森,ポルノグラフィティ,岡野昭仁,岡野昭仁,2007-07-01,DfVImgT_5pI
風の辿り着く場所(大魔神カノン ED),彩菜,折戸伸治,Key,2007-07-01,
가버려,타이푼,심상원,"심상원,솔비",2007-07-01,kZ1JZ0nu9_o
가지마가지마가지마,"원티드,이정",한상원,"한상원,최갑원",2007-07-01,Beug-he7rFg
가질 수 있어 (강남 엄마 따라잡기 OST),자두,박요한,김은채,2007-07-01,Xlf7NSUppjk
그녀를 버려요,양파,PJ,양파,2007-07-01,PD9EnNmkSdc
그대내게 다시,럼블피쉬,김형석,노영심,2007-07-01,T1yYvPWH7Rw
그대만 보이네요,고유비,MR.고철,MR.고철,2007-07-01,LHab7_jrHb8
그대만...,타이푼,"이희성,박성진","박성진,안은진,권혁성",2007-07-01,3eIfHV08Dtw
그대만 모르죠(대조영OST),나르샤(브라운아이드걸스),이상준,김진용,2007-07-01,emUeRe7BONo
그대여(행복한 여자 OST),문정희,오동식,오동식,2007-07-01,UJmryR66724
그래도 사는 게 낫잖아,타이푼,이세준,이세준,2007-07-01,rrkZX6oA4Uw
그래도 사랑합니다,일락,"김도훈,민명기","김도훈,민명기",2007-07-01,NPo4JdGgX8M
그렇게 너를 사랑해,"프리스타일vs풍경(Feat.장한이,Steve)",송봉주,"송봉주,최민호",2007-07-01,
기다리고 있어,제이원,예규,송수윤,2007-07-01,HZxsUSTW4q0
기억해,양파,이승환,윤경,2007-07-01,d3ug3UoUmTU
꿈을 향해 (드라마시티 '명문대가 뭐 길래' 삽입곡),신다은,박찬혁,최민기,2007-07-01,
나를 잊지 말아요,Stay,Stay,Stay,2007-07-01,MdcOlyvxcU8
난 미쳤다,"다이나믹듀오(Feat.Dave Lopez From Flipsyde,박정은)","최재호,김윤성,DAVE","최재호,김윤성",2007-07-01,UO1cRWMKUF4
내게도 사랑이,신태권(Feat.배치기),"김정만,황종하","신태권,탁탁36,정무웅",2007-07-01,w7zjCx0fLKI
내게로 와,안젤로,윤재상,"주우리,조남욱",2007-07-01,tI0pcDy7lcg
내 눈물 속의 그대,강승모,강승모,송서정,2007-07-01,RP-WLCUc5xg
내 마음별과 같이,지아(Duet.KCM),조영수,안영민,2007-07-01,jVNZn3yTvM0
내 여자친구를 소개합니다,DAN(Feat.진(眞)),카이,"카이,김상욱",2007-07-01,
너를 위해서,YOTA(Feat.블랙티(랑쇼)),구형서,구형서,2007-07-01,
너와 나,"원티드,이정(Feat.Epik High)","이종훈,이채규","최갑원,하동균",2007-07-01,
네 옆에 있을께,위칭데이,손대암,손대암,2007-07-01,PmZxicrXKjY
눈을 감아도,MC THE MAX,강우현,RAIN,2007-07-01,JgVJxdbWlgY
니가 뭔데,제노(Feat.Y),"김영준,이창현","김영준,명인희",2007-07-01,kkW2Gqmmn3s
돌리고 돌리고 돌리고,도훈,송영수,김광석,2007-07-01,ipMB-CqcCsA
동행 Two,최성수,최성수,"최성수,라졸캄자도프",2007-07-01,LUq2twPjBCQ
들리나요?,July,이세준,이세준,2007-07-01,ZhszAH385vU
라라라(Remix),세븐,테디,테디,2007-07-01,qqg-9MMKJWE
랄랄라 It 's Love!(커피 프린스 1호점 OST),THE MELODY,고운,고운,2007-07-01,
러브레이싱,데프콘(Feat.박상민),"유대준,김진태","유대준,김진태",2007-07-01,fUWc5YWkGes
로맨티스트,이주랑,김정호,"정동진,이주랑",2007-07-01,W5t7xXuHqQk
마이★러버(Korean Ver.),윤하,Yusuke Tanaka,윤홍은(HEY),2007-07-01,xWdIGPhgpqE
말해봐,프리즈,한상원,"이지은,한상원",2007-07-01,8GIL6komwVc
메아리(喊),박효신,RYOKI MATSUMOTO,김태희,2007-07-01,YVoK2mrEwYw
며칠째,MY-Q,MY-Q,MY-Q,2007-07-01,qc_qgP30Vm8
묘연거(杳然去),박현,박청귀,박용하,2007-07-01,_PLR6gRHha8
물끄러미,지아,조영수,안영민,2007-07-01,jVNZn3yTvM0
미련한 가슴 아(개와 늑대의 시간 OST),이수(MC THE MAX),김도훈,황성진,2007-07-01,
바다 여행(커피 프린스 1호점 OST),티어라이너,LINER,이정아,2007-07-01,cvTf1cslwVg
바다의 공주,LPG(Rap Feat.래피),이주호,Mrs.로빈슨,2007-07-01,
빨간 구두아가씨(아 똑딱!),B.BIG Brother's,김인배,하중희,2007-07-01,4aRtFNMWmRU
사랑에 미친 남자,휘,박동규,박동규,2007-07-01,ou5MCO64QlM
사랑이 끝날 때,강철,kiroy Y,강연주,2007-07-01,QLp_0BS4_10
사랑이 떠난다(황금신부 OST),한얼,강지원,강지원,2007-07-01,_LxI9eakctY
사랑하는 법을 몰라서,FT Island,YAMAGUCHI HIROO,한성호,2007-07-01,gVUksFgzrpY
사랑한 단 말이야(기찬Said)(불량 커플OST),Sweet Sorrow,노영심,노영심,2007-07-01,
사랑해,Fly To The Sky,하정호,"하정호,서정진",2007-07-01,VD4DMocvxs4
사랑해서 잊어 줄께,Soul K,김희중,김희중,2007-07-01,z95zxOObrRY
소나기,서영은,김재양,서영은,2007-07-01,53s4bB4XaCI
숟가락 젓가락,정일송,최두련,최비룡,2007-07-01,sLt2W4YBrJ4
심장에 남는 사람,바이브,김덕수,리춘구,2007-07-01,eirI-voU2Dc
아찔했어요,포지션,박해운,이승호,2007-07-01,MjlfgDWxX4k
아침(Remake Ver.),HEX(Feat.1SAGAIN),이상현,"이상현,1SAGAIN",2007-07-01,6kP62mpfWkQ
애상(대조영OST),박효신,박해운,강은경,2007-07-01,fFu0btpr9PA
야누스,이선우,박진석,김한,2007-07-01,3qNlg7Uys_s
얄리송,The Khan,이채운,이채운,2007-07-01,z2xram7l_vA
얼음 인형,SeeYa,조영수,김현아,2007-07-01,Z53yJI3VUCs
여행을 떠나요,SM TOWN,조용필,하지영,2007-07-01,4Ian8nsSoas
연어가 되지 못한 채,넬,김종완,김종완,2007-07-01,C2WDI2TKARg
오늘만,윤하,윤하,심재희,2007-07-01,gcgNaERtD90
오에 오,무가당,용감한형제,G-DRAGON,2007-07-01,
이 노래들으면 전화해,Swan(Rap Feat.쿨라피카),최희찬,이상백,2007-07-01,X1QAz3PEpKE
이별을 모르게,마녀,김두현,"정필승,TACH",2007-07-01,HzZlN6LXtCo
이브의 경고,보아(Feat.신동),천성일,김창환,2007-07-01,jEs-xe0Q8VI
이 세상에 단 하나뿐인 여인,"조덕배(Feat.조PD,정지선)",하광훈,조덕배,2007-07-01,r3ULRUt3Bm8
일월지가(한성별곡OST),선예,"박진영,권태은",박진영,2007-07-01,2OkdQFuTGIE
잘 살고 볼 일입니다,슈퍼키드,"박과장,허첵","박과장,허첵",2007-07-01,CGYfUUBTsBU
정말 진짜로,한혜진,정의송,한명숙,2007-07-01,Emcr_7wM8cE
좋은 걸어 떡해,블랙펄,조영수,안영민,2007-07-01,u37EXtB1u6g
좋을 거야,주.식.회.사,"김현철,심현보,정지찬,이한철","김현철,심현보,정지찬,이한철",2007-07-01,b-274agnveg
지난 여름 밤의 이야기,강타,권진원,권진원,2007-07-01,MLspp4sMe2M
쫄방리 가는 길,이호선,오해균,오해균,2007-07-01,GbO-_rIz8JQ
찡하고 짠,조혜련,이용민,조혜련,2007-07-01,drtI-SwH0V4
초연(한성별곡OST),Joo,권태은,권태은,2007-07-01,Rw5Wb_rQpPs
쿵팍 Life,JK 김동욱(Feat.Leo Kekoa),JK 김동욱,"JK 김동욱,LEO KEKOA",2007-07-01,ABDQ2UVHq7o
태양,쿤타&뉴올리언스,최성범,안태현,2007-07-01,PiJxZSoFI9Y
파워레인저 매직 포스,만화주제가,외국곡,미상,2007-07-01,q2VSQGxLQTI
파티,윤희상,이호섭,윤희상,2007-07-01,I6fHIzYeOMs
팥빙수(New Ver.),윤종신,이규호,윤종신,2007-07-01,r8eZ201HQ8g
폭풍..,간종욱(Feat.허인창),"하정호,장세원","하정호,CARLOS,허인창",2007-07-01,
하늘에 내 마음이,손호영,강지원,손호영,2007-07-01,xV--sMnb9Tk
하늘을 가리고 (개와 늑대의 시간 OST),장혜진,김도훈,최갑원,2007-07-01,x1_0_-ZU3E8
하이야,쿨라피카(Feat.이지라이프),"이상백,이민수","쿨라피카,DK4RG",2007-07-01,y-mZUdSHinQ
한 사람,채연,김창환,김창환,2007-07-01,YTZuKEhcWus
한 사람을 사랑하다,"오현란(Feat.윤민수,4MEN)",윤민수,윤민수,2007-07-01,Cv5sCaBUwMI
행복,슈퍼주니어,장용진,장용진,2007-07-01,IwTJItC3EbQ
향수(황금신부 OST),김동욱,조우진,강은경,2007-07-01,DxA4TJdQo70
화분(커피 프린스 1호점 삽입곡),러브홀릭,강현민,강현민,2007-07-01,oAraNmJSmjE
회색 정원,빅뱅-방승철(Feat.MINI민재),방승철,방승철,2007-07-01,
(I 'm Caught Between) Goodbye and I Love You,The Carpenters,"John Bettis, Richard Carpenter","John Bettis, Richard Carpenter",2007-08-01,
3번째날,Fly To The Sky,김진환,"최갑원,김기원",2007-08-01,nLGkN6R8fts
ALONES(BLEACH OP),Aqua Timez,太志,太志,2007-08-01,0daGaPepTfQ
Angel Voice (マクロス 7 OST),Fire bomber,菅野よう子,K.Inojo,2007-08-01,
Big Things Poppin`,T.I.,"C. Harris, B. Thomas","C. Harris, B. Thomas",2007-08-01,cksewjmh8hM
Blaze Away (アイシールド21 ED),TRAX,D.A.I,Goro　Matsui,2007-08-01,
Blur ry Eyes(Dan2 OP),김영종,외국곡,미상,2007-08-01,
Call Ma Name,무가당,ROVIN,"송백경,김우근,프라임,이은주",2007-08-01,
Carnival (I 'll Tek Kyu Deh!),윈디시티(Feat.Escola Alegria),"윤갑열,유철상,조명진,김태국,정상권",김반장,2007-08-01,
Come Back To Me,박상민,홍진영,홍진영,2007-08-01,qrgMX3Bkk34
Come With Me(칼잡이 오수정 OST),MC 진리 & Storm,오준성,오준성,2007-08-01,jdq7c7ov7n4
Dancer In The Rain,천상지희 The Grace,YOUNG H.KIM,YOUNG H.KIM,2007-08-01,ecb4yF8aajU
Feeling,레이킹,염부원,염부원,2007-08-01,cy42FzJTDDE
Fencer of GOLD,JAM Project,きただに ひろし,"きただに ひろし, 奥井 雅美",2007-08-01,
First Love,Vink & 심은진,임형빈,"임형빈,심재희",2007-08-01,_6sHmSM11z0
FORTUNATE SON(Die Hard 4.0 OST),C.C.R,John Fogerty,John Fogerty,2007-08-01,
gl itt er,浜崎あゆみ,Kazuhiro Hara,ayumi hamasaki,2007-08-01,
Go Go Twist(Remix),고고보이즈,김기찬,김기찬,2007-08-01,9-Vy2ljxauo
Good-Bye,THE MELODY,고운,"고운,이용원",2007-08-01,TeU63YxiDnw
Hero's Come Back!!(NARUTO-ナルト-疾風伝 OP),nobodyknows+,DJ MITSU,nobodyknows+,2007-08-01,yqQAwUDRHpQ
Hey! Say!,Hey! Say!7,BOUNCEBACK,Erykah,2007-08-01,qhk67dwSFvE
Holiday,에즈원&2NB,김세진,배화영,2007-08-01,cWeWR_rEy6g
Holy Lonely Light (マクロス OST),Fire bomber,SUDOU HIDEKI,K INOJO,2007-08-01,
Honey Honey(Remix),현영,임일홍,정한종,2007-08-01,JimNFrIlzUI
